ticket_id,text,intent_label,sentiment_label
GF-0546,"My refund for #9912776 hasn't shown up, so just cancel my other order too.",,
GF-0547,You guys are awesome. Quick question: how couldi see how long it takes for my package to arrive,,
GF-0548,Frustrated customer here. want help to get in touch with customer assistance,,
GF-0549,i dont know how i can buy a few of ur product,,
GF-0550,i need help checking when my package is gonna arrive,,
GF-0551,I have got to cancel purchase #7167086,,
GF-0552,check invoice from last purchase,,
GF-0553,Worst experience ever. I demand a full refund of $64.2 for #3070817.,,
GF-0554,I want assistance to notify of a sign-up error,,
GF-0555,need help lodging a cutomer claim against your organization,,
GF-0556,"Great job, really: my delivery went to the wrong address. So happy I chose you.",,
GF-0557,need to submit a secondary shipping address how to do it,,
GF-0558,want assistanfe to shop several damn articles,,
GF-0559,need assistance to order some itemsx,,
GF-0560,is there a way to send my feedback,,
GF-0561,where do I see when my package is going to arrive?,,
GF-0562,Frustrated customer here. how to see the early termination charges?,,
GF-0563,can you help me giving a quick look at my invoice #12588?,,
GF-0564,i dont know what i need to do to speak to a person,,
GF-0565,I call to download the invoice #37777,,
GF-0566,help me cancelling my newsletter subscription,,
GF-0567,I never authorized order #1076493: cancel it and refund the $64.2 now.,,
GF-0568,want help speaking with somebody,,
GF-0569,help solving troubles with online payment,,
GF-0570,can ya help me to open a #4072634 account for my dad,,
GF-0571,I don't know how to inform of an issue with sign-up,,
GF-0572,how do I notify of payment problems?,,
GF-0573,I have a question about canceling purchase $49.99,,
GF-0574,I need hepl to report an error with online payment,,
GF-0575,report payment issue,,
GF-0576,is it possible to create a standard account?,,
GF-0577,want help to get my money back,,
GF-0578,do ya have an e-mail to leave some feedback about ur company,,
GF-0579,i expect a refund of $120 dollars,,
GF-0580,is it possible to check how soon can i expect my article,,
GF-0581,I want help cancellkng purchase #7055261,,
GF-0582,help me see in what cases can I request to be reimbursed,,
GF-0583,can ya help me to lodge a consumer claim,,
GF-0584,i try to make a complaint against ur company,,
GF-0585,could you help me get compensations of my money?,,
GF-0586,how can I notify of problems with online payments?,,
GF-0587,Wrong item shipped for #8430866: refund my $40 and cancel the replacement you sent.,,
GF-0588,is it possible to buy several items,,
GF-0589,I need assistance purchasing several products,,
GF-0590,Furious. Cancel #7055261 and never email me again.,,
GF-0591,Brilliant — my card got charged twice. You never disappoint.,,
GF-0592,want assistance sending some feedback about a product,,
GF-0593,Very upsetting situation. i do not know what to do to inform of problems with payments,,
GF-0594,i made an mistake could i modify order #6860249,,
GF-0595,support editing the delivery address,,
GF-0596,I'm sick of this company. Give me my $64.2 back for #6658042 before I call my bank.,,
GF-0597,how to speak to a live agent,,
GF-0598,"Wow, amazing — I can't reset my password because your site is down. What a wonderful experience.",,
GF-0599,I need assistamce to inform of a payment issue,,
GF-0600,want assistance notifying of payment issues,,
